WATERBODY,WBID,the_geom,CO_NUMBER,COUNTY,REGION,Location,IRCat2008,IRCat2006,Change2006,DsgLake04,WBPoint,PubLnd_Int,Legend,DesUse,Rationale,DataSource,Priority,Comments,Impairment
Hannon Lake,IA 02-IOW-01810-L_0,POINT (-92.11354511716361 41.8661569249578),6,Benton,NE,"Benton County, S34,T82N,R11W, 4 mi SW of Blairstown.",5a,2a,Yes,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",High,All impairments are new for the 2008 cycle.,algae
Casey Lake (aka Hickory Hills Lake),IA 02-CED-03060-L_0,POINT (-92.31300628266763 42.26533591649569),86,Tama,SC,"Tama County, S13,T86N,R13W, 6 mi N of Dysart.",5a,5a,No,1,0,0,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",High,pH impairment continues; algae and turbidity impairments are new for 2008 cycle.,algae
Union Grove Lake,IA 02-IOW-02195-L_0,POINT (-92.72414600169256 42.128355129907106),86,Tama,SC,"Tama County, S33,T85N,R16W, 2.5 mi NW of Garwin.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",High,All impairments continue from 2006 cycle.,algae
Otter Creek Lake,IA 02-IOW-02095-L_0,POINT (-92.51955660098217 42.0443366501011),86,Tama,SC,"Tama County, S31,T84N,R14W, 5 mi NE of Toledo.",5a,2a,Yes,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,All impairments are new for the 2008 cycle.,algae
Hickory Grove Lake,IA 03-SSK-00530-L_0,POINT (-93.355352288958 41.98583199069993),85,Story,SC,"Story County, S24,T83N,R22W, 2.5 mi SW of Colo.",5a,2a,Yes,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,"IDNR county beach monitoring, 2004-2006",High,Bacteria impairment is new for 2008 cycle.,bacteria
Green Castle Lake,IA 02-IOW-00660-L_0,POINT (-92.86031217397841 41.92846510678752),64,Marshall,SC,"Marshall County, S8,T82N,R17W, 1 mi. S of Ferguson.",5a,2a,Yes,1,0,1,1,primary contact recreation,> 10% of samples violate WQ criteria,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Low,pH impairment is new for 2008 cycle.,pH
Shrickers Slough,IA 01-MAQ-0005-L_0,POINT (-90.30838909263099 41.75928238290973),23,Clinton,SE,"approximately 2 miles SW of Camanche in Sections 5, 6, and 7 of T80N, R6E, Clinton Co.",5a,5a,No,0,0,1,1,aquatic life,impacts to backwater of Upper Mississippi River,"LTRMP ambient monitoring, 2002-06",Low,Turbidity impairment is new for 2008 cycle.,algae
Willow Lake,IA 06-BOY-00405-L_0,POINT (-95.78876066249752 41.769462855844026),43,Harrison,SW,"Harrison County, S6,T80N,R42W, 5 mi. NW of Woodbine.",5a,2a,Yes,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,"IDNR/UHL beach monitoring, 2004-2006",Low,Bacteria impairment is new for the 2008 cycle.,bacteria
DeSoto Bend,IA 06-WEM-00340-L_0,POINT (-96.02534225733565 41.543723652402264),43,"Harrison, Pottawattamie",SW,"Harrison County, S21,T78N,R45W, 5 mi. W of Missouri Valley.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Secchi trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Low,The turbidity impairment continues; algae impairment is new for the 2008 cycle.,turbidity
Prairie Rose Lake,IA 05-NSH-01440-L_0,POINT (-95.21974002960215 41.60297423366289),83,Shelby,SW,"Shelby County, S36,T79N,R38W, 6 mi SE of Harlan.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",High,Algae impairment continues; turbidity and pH impairments are new for 2008 cycle; propose de-listing bacteria impairment.,algae
Lake MacBride,IA 02-IOW-00390-L_0,POINT (-91.56672814507333 41.79698841436608),52,Johnson,SE,"Johnson County, S29,T81N,R6W, 4 mi. W of Solon.",5a,5a,No,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,"IDNR-UHL beach monitoring program, 2004-06",High,Bacteria impairments continues; pH impairment is new for 2008 cycle.,bacteria
Coralville Reservoir,IA 02-IOW-0040-L_0,POINT (-91.52961847352508 41.726887330089156),52,Johnson,SE,"Johnson County, S22,T80N,R6W (dam), 3 mi N of Iowa City.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Secchi trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Low,Changed aquatic life use from B(LW) to B(WW1) as per use classification document.,turbidity
Kent Park Lake,IA 02-IOW-01630-L_0,POINT (-91.73052621002176 41.724992167413454),52,Johnson,SE,"Johnson County, S24,T80N,R8W, 2.5 mi. W of Tiffin.",5a,2a,Yes,1,0,1,1,primary contact recreation,> 10% of samples violate WQ criteria,> 10% of samples violate WQ criteria,Medium,pH impairment is new for the 2008 cycle.,pH
Beaver Lake,IA 04-RAC-01750-L_0,POINT (-94.21145306106149 41.53267519207304),25,Dallas,SC,"Dallas County, S20,T78N,R29W, 1.5 mi. N of Dexter.",5a,1,Yes,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,Algae and turbidity impairments are new for the 2008 cycle.,algae
Iowa Lake,IA 02-IOW-01150-L_0,POINT (-92.17457298943152 41.63722373986741),48,Iowa,SE,"Iowa County, S19,T79N,R11W, 4 mi. NNW of Millersburg.",5a,5a,No,1,0,1,1,primary contact recreation,> 10% of samples violate WQ criteria,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,pH impairment continues.,pH
Big Creek Lake,IA 04-UDM-0140-L_0,POINT (-93.74260322022239 41.81479057869454),77,Polk,SC,"Polk County, S22,T81N,R25W, near Polk City",5a,5a,No,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,"IDNR/UHL beach monitoring, 2004-2006",High,Bacteria impairment continues.,bacteria
Saylorville Reservoir,IA 04-UDM-0020-L_0,POINT (-93.68902059133453 41.717033667987366),77,Polk,SC,"Polk County, Saylorville Dam to Polk-Dallas county line.",5a,5a,No,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,"ISU/ACOE beach monitoring, 2004-06.",Low,Bacteria impairment continues; due to high bacteria at Sandpiper Beach.,bacteria
Lake Patoka,IA 03-SSK-0056-L_0,POINT (-93.44217851232735 41.70686917075894),77,Polk,SC,"T80N R22W Section 29 SE, East of Bondurant on Hwy 65",5b,5b,No,0,0,1,1,aquatic life,Fish kill in April 2005 caused by chlorine in city water discharged to lake following tank-leak test.,IDNR fish kill investigation,Medium,Fish kill impairment continues.,"biological,  fish kill:  chlorine"
Rock Creek Lake,IA 03-NSK-00340-L_0,POINT (-92.85352796631815 41.74042796262947),50,Jasper,SC,"Jasper County, S17,T80N,R17W, 4 mi. ENE of Kellogg.",5a,5a,No,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,"IDNR/UHL beach monitoring, 2004-2006",Medium,Bacteria impairment continues.,bacteria
Lake of the Hills,IA 01-NEM-00160-L_0,POINT (-90.67733019211012 41.521465023427155),82,Scott,SE,"Scott County, S25,T78N,R2E, 1/4 mi W of Davenport.",5a,2a,Yes,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,IDNR-county voluntary beach monitoring program in 2004-06.,Low,Bacteria impairment is new for 2008 cycle.,bacteria
Arrowhead Pond,IA 06-WED-00270-L_0,POINT (-95.59243258164848 41.43607627328395),78,Pottawattamie,SW,"Pottawattamie County, S29,T77N,R41W, 1.5 mi SE of Neola",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,pH and organic enrichment impairments continue; algae impairment is new for the 2008 cycle and replaces non-algal turbidity impairment.,algae
Carter Lake,IA 06-WEM-00265-L_0,POINT (-95.92047019721484 41.30060597924315),78,Pottawattamie,SW,"Pottawattamie County, S23,T75N,R44W, at Carter Lake.",5a,5a,No,1,0,0,1,human health (fish consumption),Issuance of a fish consumption advisory by Nebraska DEQ.,Nebraska DEQ,Low,"A TMDL was approved in 2007 for algae/algal toxins, chlorophyll a, total phosphorus, total nitrogen, and pH.  Ammonia and low DO, however, were not specifically addressed.",PCBs (in fish)
Lake Manawa,IA 06-WEM-00235-L_0,POINT (-95.86006764824867 41.20658829989165),78,Pottawattamie,SW,"Pottawattamie County, S13,T74N,R44W, S edge Council Bluffs",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,Algae and turbidity impairments continue.,algae
Cold Springs Lake,IA 05-NSH-00310-L_0,POINT (-95.08704947201758 41.29198097543137),15,Cass,SW,"Cass County, S15,T75N,R37W, 1 mi S of Lewis.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,Algae and turbidity impairments continue; pH impairment is new for the 2008 cycle.,algae
Lake Darling,IA 03-SKU-01450-L_0,POINT (-91.89657482163899 41.19525382223517),92,Washington,SE,"Washington County, S21,T74N,R9W, 3 mi W of Brighton.",5a,5a,No,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,"IDNR/UHL beach monitoring, 2004-2006",Medium,"Bacteria impairment continues; turbidity, algae, and pH impairments addresse by TMDL approved in 2003.",bacteria
Meadow Lake,IA 04-LDM-02870-L_0,POINT (-94.43920267002443 41.384667679197136),1,Adair,SW,"Adair County, S17,T76N,R31W, 5 mi N of Greenfield.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,Algae impairment continues; turbidity impairment is new for the 2008 cycle.,algae
Mormon Trail Lake,IA 05-NOD-00820-L_0,POINT (-94.6343070248667 41.24222135424311),1,Adair,SW,"Adair County, S17,T76N,R31W, 1.5 mi SE of Bridgewater.",5a,1,Yes,1,0,1,1,human health (fish consumption),issuance of a 1 meal per week fish consumption advisory,fish contaminant monitoring (RAFT and IDNR) in 1994 and 2006,Low,"Bacteria, pH, and mercury (fish consumption) impairments are new for the 2008 cycle.",pH; mercury (in fish)
Orient Lake,IA 05-NOD-00485-L_0,POINT (-94.43644466087845 41.1975527029016),1,Adair,SW,"Adair County, S20,T74N,R31W, approx 1 mi SW of Orient.",5a,4a,Yes,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,"Algae and pH impairments are new for the 2008 cycle; TMDL for nutrients, turbidity and siltation approved in 2001.",algae
South Banner Lake,IA 04-LDM-02725-L_0,POINT (-93.5525992763123 41.438300671762825),91,Warren,SC,"Warren County, S30,T77N,R23W, 5 mi N of Indianola.",5a,3a,Yes,1,0,1,1,human health (fish consumption),issuance of a 1 meal per week fish consumption advisory in 2007,fish contaminant monitoring (RAFT and IDNR),Low,Mercury (fish consumption) impairment is new for 2008 cycle.,mercury (in fish)
Lake Ahquabi,IA 04-LDM-02615-L_0,POINT (-93.59333148838805 41.29022935292017),91,Warren,SC,"Warren County, S14,T75N,R24W, 4 mi SSW of Indianola.",5a,2a,Yes,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",High,Algae impairment is new for the 2008 cycle.,algae
Hooper Area Pond,IA 04-LDM-02718-L_0,POINT (-93.58869671640005 41.27484097705981),91,Warren,SC,"Warren County, S26,T75N,R24W, 5 mi SSW of Indianola.",5a,5a,No,1,0,1,1,primary contact recreation,> 10% of samples violate WQ criteria,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",High,pH impairment continues.,pH
North Banner Lake,IA 04-LDM-02726-L_0,POINT (-93.54944160432656 41.44364904205037),91,Warren,SC,entire waterbody,5a,3a,Yes,0,0,1,1,human health (fish consumption),issuance of a 1 meal per week fish consumption advisory in 2007,fish contaminant monitoring (RAFT and IDNR),Low,Mercury (fish consumption) impairment is new for 2008 cycle.,mercury (in fish)
Cedar Lake,IA 04-LDM-03085-L_0,POINT (-93.99793094942692 41.37109332766965),61,Madison,SC,"Madison County, S19,T76N,R27W near Winterset.",5a,5a,No,1,0,0,1,drinking water,average levels > atrazine MCL (3 ppb),Results of Syngenta Inc. monitoring from 2000-02,Medium,Atrazine impairment continues.,atrazine
Lake Keomah,IA 03-SSK-00120-L_0,POINT (-92.53961067456937 41.29398973706534),62,Mahaska,SC,"Mahaska County, S13,T75N,R15W, 4.5 mi E of Oskaloosa.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",High,All impairments continue from 2006 cycle.  A TMDL for siltation was approved in 2002 but does not address the listed impairments.,algae
White Oak Conservation Area Lake,IA 03-SSK-00118-L_0,POINT (-92.47657063971857 41.27352621926653),62,Mahaska,SC,"Mahaska County, S28,T75N,R14W, 4 mi SSW of Rose Hill.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,All impairments continue from 2006 cycle.,algae
Roberts Creek Lake,IA 04-LDM-00380-L_0,POINT (-93.04990270410245 41.42532464566169),63,Marion,SC,"Marion County, S4,T76N,R19W, 6 mi NE of Knoxville.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Secchi trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,Turbidity impairment continues; algae impairment is new for the 2008 cycle.,turbidity
Viking Lake,IA 05-NOD-00930-L_0,POINT (-95.03243162787408 40.975902200837076),69,Montgomery,SW,"Montgomery County, S6,T71N,R36W, 4 mi. E of Stanton.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,Bacteria and algae impairments continue.  Lake was renovated in fall 2006.,algae
Geode Lake,IA 03-SKU-00650-L_0,POINT (-91.38630720087373 40.818650992720585),44,"Des Moines, Henry",SE,"Henry County, S36,T70N,R5W, 4 mi. SW of Danville.",5a,5a,No,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,"IDNR/UHL beach monitoring, 2004-2006",High,Bacteria and pH impairments continue; TMDL for pH impairment in preparation.,bacteria; pH; mercury in fish
Walton Reservoir,IA 03-SKU-00945-L_0,POINT (-91.93405384490735 41.013852532471326),51,Jefferson,SE,"Jefferson County, S30,T72N,R9W, at NE edge of Fairfield.",5a,5a,No,1,0,0,1,drinking water,average levels > atrazine MCL (3 ppb),Results of Syngenta Inc. monitoring from 2000-02,Low,Atrazine impairment continues; no recent monitoring.,atrazine
Green Valley Lake,IA 05-PLA-00295-L_0,POINT (-94.3854175137859 41.10151135248105),88,Union,SW,"Union County, S26,T73N,R31W, 2.5 mi NW of Creston.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",High,Algae impairment continues.,algae
Thayer Lake,IA 05-GRA-01410-L_0,POINT (-94.06585087175681 41.02131012328994),88,Union,SW,"Union County, S22,T72N,R28W, 1 mi SW of Thayer.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Secchi trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Low,Turbidity impairment continues.  Lake renovated in fall 2006; expect WQ improvements.,turbidity
Greater Ottumwa Central Park Ponds,IA 04-LDM-00215-L_0,POINT (-92.42780355410986 41.01064135619307),90,Wapello,SE,"Wapello County, S25,T72N,R14W, at Ottumwa.",5b,4a,Yes,1,0,0,1,aquatic life,Fish kill in August 2006 caused by spill of petroleum products.,IDNR fish kill investigations.,Low,"Spill-related fish kill impairment is new for 2008 cycle; TMDL for algae, turbidity, and chlordane approved in 2005.",biological:  fish kill:  petroleum products
West Lake (Osceola),IA 04-LDM-02690-L_0,POINT (-93.80449310326664 41.035932853215684),20,Clarke,SC,"Clarke County, S13,T72N,R26W, approx 2 mi W of Osceola.",5a,4a,Yes,1,0,0,1,aquatic life,> 10% of samples violate WQ criteria,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Medium,A TMDL for the atrazine impairment was approved in 2002; the impairment due to low DO is new for the 2008 cycle.,low DO
Red Haw Lake,IA 04-LDM-02296-L_0,POINT (-93.27240754592633 40.99792513068313),59,Lucas,SC,"Lucas County, S28,T71N,R21W, 2 mi SE of Chariton.",5a,2a,Yes,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,"IDNR/UHL beach monitoring, 2004-2006",Low,Bacteria impairment is new for 2008 cycle.,bacteria
Wilson Park Lake,IA 05-PLA-00380-L_0,POINT (-94.542627322539 40.83656148699581),87,Taylor,SW,"Taylor County, S28,T70N,R32W, 3 mi SSE of Lenox.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Low,Algae and pH impairments continue; Water quality has improved but not enough to suggest de-listing this cycle.,algae
Windmill Lake,IA 05-PLA-00430-L_0,POINT (-94.82623996782178 40.72927756576325),87,Taylor,SW,"Taylor County, S36,T69N,R35W, 4 mi E of New Market.",5a,5a,No,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Low,"Algae, turbidity, and pH impairments continue.",algae
Lake of Three Fires,IA 05-PLA-00335-L_0,POINT (-94.69018766726103 40.711554342883446),87,Taylor,SW,"Taylor County, S12,T68N,R34W, 2 mi NNE of Bedford.",5a,5a,No,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,"IDNR/UHL beach monitoring, 2004-2006",High,"Bacteria impairment continues.  TMDL for siltation and nutrients approved in 2002; lake renovated and dredged in 2004.  Although recent (post-2004) monitoring suggests some WQ improvement, algal turbidity continues near impairment level.",bacteria
Blockton Reservoir,IA 05-PLA-0015-L_0,POINT (-94.49827130125863 40.62767003417717),87,Taylor,SW,"S2, T67N, R32W, Taylor Co.",5a,5a,No,0,0,1,1,aquatic life,turbidity-related impacts on sport fishery related to siltation and/or common carp,IDNR Fisheries Bureau,High,Turbidity impairment continues.,turbidity
Loch Ayr,IA 05-GRA-01920-L_0,POINT (-94.23877268669166 40.74638904282558),80,Ringgold,SW,"Ringgold County, S30,T69N,R29W, 2 miles N of Mt. Ayr.",5a,5a,No,0,0,0,1,drinking water,declining water quality trend,"Syngenta, Inc. voluntary monitoring program, 2000-01",Low,Atrazine (drinking water) impairment continues; no new data.,atrazine
Nine Eagles Lake,IA 05-GRA-01010-L_0,POINT (-93.77009908943671 40.59835056157815),27,Decatur,SC,"Decatur County, S18,T67N,R25W, 3.5 mi. SE of Davis City.",5a,5a,No,1,0,1,1,human health (fish consumption),issuance of a 1 meal per week fish consumption advisory in 2006,fish contaminant monitoring (RAFT and IDNR),Low,Bacteria and mercury (fish consumption) impairments continue.,mercury (in fish)
Bob White Lake,IA 05-CHA-00690-L_0,POINT (-93.39919832126081 40.71566585839002),93,Wayne,SC,"Wayne County, S4,T68N,R22W, 1 mi W of Allerton.",5a,5a,No,1,0,1,1,primary contact recreation,geometric mean > WQ criterion,"IDNR/UHL beach monitoring, 2000-02",Low,Bacteria impairment continues; TMDL for siltation approved in 2001.,bacteria; algae
Rathbun Reservoir,IA 05-CHA-0020-L_2,POINT (-93.04666032948744 40.838554254820835),4,"Appanoose, Wayne",SC,"from main lake basin uplake to inflow of South Fork Chariton River in S36, T70N, R20W, Wayne Co.",5a,5a,No,0,0,1,1,drinking water,Average level in 2004-06 greater than MCL.,"Army Corps of Engineers monitoring, 2004-06",High,Turbidity impairment continues.,atrazine
Rathbun Reservoir,IA 05-CHA-0020-L_3,POINT (-93.07099319531528 40.88480980006772),4,"Appanoose, Wayne",SC,from main lake basin (state highway 142) uplake to inflow of the Chariton River at the Wayne/Lucas county line.,5a,5a,No,0,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Secchi trophic state index > 65.,"Army Corps of Engineers monitoring, 2004-06",Medium,Turbidity impairment continues.,turbidity
Hawthorne Lake (aka Barnes City Lake),IA 03-NSK-00250-L_0,POINT (-92.45828516128186 41.47700217817767),62,Mahaska,SC,"Mahaska County, S15, T77N,R14W, 2 mi S of Barnes City.",5a,,Yes,1,0,1,1,primary contact recreation,aesthetically objectionable conditions:  Secchi trophic state index approaching 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Low,,turbidity
Little River Watershed Lake,IA 05-GRA-00810-L_0,POINT (-93.78077038922436 40.76471779480897),27,Decatur,SC,"Decatur County, S19, T69N,R26W, NW corner of Leon.",5a,,Yes,0,1,1,1,primary contact recreation,aesthetically objectionable conditions:  Chl-a trophic state index > 65.,"ISU statewide lakes survey, 2002-06 & UHL ambient lake monitoring, 2005-06",Low,,algae
